     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Help/WechatAddImage/UIImage+XPCompress.m                                                                      5              7             18
App/Core/Base/ViewModel/XPBaseViewModel.h                                                                         8             16             18
App/Core/Category/NSObject+XPFlyweightTransmit.m                                                                  5              7             17
App/Core/Network/NSString+XPAPIPath.h                                                                             8             19             17
App/Core/Network/NSString+XPAPIPath.m                                                                             5              8             17
App/Modules/VoteModule/Model/XPVoteModel.h                                                                        4              7             17
App/Modules/SecondHandModule/ViewModel/XPSecondHandDetailViewModel.h                                              4              7             16
App/Modules/LoginModule/Network/NSString+XPAPIPath_Login.m                                                        6              7             16
App/Core/Base/View/XPBaseTableViewCell.m                                                                          6              7             15
App/Core/Network/XPAPIManager+Analysis.m                                                                          6              7             14
App/Core/Category/UIApplication+RACSignal.m                                                                       4              7             14
App/Core/Category/UITableViewCell+XPSuperView.m                                                                   5              7             14
App/Modules/ForumModule/ViewModel/XPForumViewModel.m                                                              7              7             14
App/Modules/TopicModule/Model/XPDetailPostModel.h                                                                 5              7             14
App/Modules/SecondHandModule/Model/XPSecondHandDetailModel.h                                                      4              7             14
App/Core/Macro/XPConstMacro.h                                                                                     5             12             13
App/Core/Category/UIView+XPNib.m                                                                                  6              8             13
App/Modules/VoteModule/ViewController/XPVotingEndedDetailsViewController.m                                        9              7             13
App/Modules/SecondHandModule/Model/XPSecondHandItemsListModel.h                                                   6              7             13
App/Modules/NeighborhoodModule/XPTopicModel.h                                                                     6              7             13
App/Core/Category/NSString+RACSignal.m                                                                            4              7             13
App/Modules/MaintenanceModule/ViewModel/XPMaintenanceViewModel.h                                                  5              7             12
App/Modules/VoteModule/NetWork/NSString+XPAPIPath_Vote.m                                                          5              7             12
App/Modules/MaintenanceModule/NetWork/NSString+XPAPIPath_Maintenance.m                                            4              7             12
App/Modules/SecondHandModule/NetWork/NSString+XPAPIPath_SecondHand.h                                             12              7             12
App/Help/AlertController/XPAlertController.h                                                                     10              7             12
App/Modules/ComplaintModule/NetWork/XPAPIManager+Complaint.m                                                      5              7             12
App/Modules/TopicModule/NetWork/NSString+XPAPIPath_CreatePost.m                                                   5              7             12
App/Core/Base/Storage/XPBaseStorage.h                                                                            10             49             12
App/Core/Category/RACSignal+XPOperatorAdditions.m                                                                 4              7             11
App/Modules/VoteModule/ViewModel/XPVoteViewModel.h                                                                3              9             11
App/Modules/TopicModule/ViewModel/XPCreatePostViewModel.h                                                         4              7             11
App/Core/Base/Model/XPBaseModel.h                                                                                 8             18             11
App/Help/WechatAddImage/XPOSSImageView.h                                                                          7              7             11
App/Modules/LoginModule/ViewModel/XPLoginViewModel.h                                                              7              7             11
App/Modules/VoteModule/ViewModel/XPDetailViewModel.m                                                              9              7             10
App/Modules/MaintenanceModule/Model/XPMyMaintenanceModel.m                                                        9              7             10
App/Modules/ComplaintModule/ViewModel/XPComplaintViewModel.h                                                      4              7             10
App/Modules/VoteModule/Model/XPVoteModel.m                                                                        8              7             10
App/Core/Category/UIWebView+RACSignal.h                                                                           4              7             10
App/Help/Activity/XPBaseShareActivity.h                                                                           7             13             10
App/Modules/SecondHandModule/Model/XPTransferOrBuyModel.m                                                         9              7             10
App/Modules/TopicModule/Model/XPDetailPostModel.m                                                                 9              7             10
App/Modules/SecondHandModule/ViewController/XPTransferOrBuyViewController.h                                       5              7             10
App/Modules/NeighborhoodModule/XPTopicModel.m                                                                     9              7             10
App/Core/Base/View/XPBaseView.h                                                                                   4              7             10
App/Help/MoreOptionsViewController/XPMoreOptionsViewController.h                                                  9              7             10
App/Modules/SecondHandModule/Model/XPSecondHandDetailModel.m                                                      9              7             10
App/Modules/SecondHandModule/Model/XPSecondHandItemsListModel.m                                                   8              7             10
App/Modules/NeighborhoodModule/XPAuthorModel.m                                                                    9              7             10
App/Core/Category/RACTableViewDataSource.h                                                                        6              7             10
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyCommonCell.h                                   7              7             10
App/Core/Category/UIView+block.h                                                                                 10             41             10
App/Modules/ComplaintModule/Model/XPComplaintModel.m                                                              8              7             10
